FLEET,UNIT,LOG NO,CAP COST,BOOK VALUE,RENTAL,TERM,LPIS,SCONTR,INS PREMIUM,FEE,DESC,MM/YY,START,STOP,AMT,METHOD,RATE,BL,AC
M2285,2,101000839,659121.55,593736.67,13173.06,50,8,,83761.25,2862,Amortitation,20171101,8,8,6662.19,51,8,Y,Y
M2285,2,101000839,659121.55,585563.56,13173.06,50,9,,83761.25,2862,Amortitation,20171201,9,9,6732.08,51,9,Y,Y
M2285,2,101000839,659121.55,577390.45,13173.06,50,10,,83761.25,2862,Amortitation,20180101,10,10,6802.71,51,10,Y,Y
M2285,2,101000839,659121.55,569217.34,13173.06,50,11,,83761.25,2862,Amortitation,20180201,11,11,6874.09,51,11,Y,Y
M2285,2,101000839,659121.55,561044.23,13173.06,50,12,,83761.25,2862,Amortitation,20180301,12,12,6946.21,51,12,Y,Y
M2285,2,101000839,659121.55,552871.12,13173.06,50,13,,83761.25,2862,Amortitation,20180401,13,13,7019.08,51,13,Y,Y
M2285,2,101000839,659121.55,544698.01,13173.06,50,14,,83761.25,2862,Amortitation,20180501,14,14,7092.73,51,14,Y,Y
M2285,2,101000839,659121.55,536524.9,13173.06,50,15,,83761.25,2862,Amortitation,20180601,15,15,7167.14,51,15,Y,Y
M2285,2,101000839,659121.55,528351.79,13173.06,50,16,,83761.25,2862,Amortitation,20180701,16,16,7242.34,51,16,Y,Y
M2285,2,101000839,659121.55,520178.68,13173.06,50,17,,83761.25,2862,Amortitation,20180801,17,17,7318.32,51,17,Y,Y
M2285,2,101000839,659121.55,512005.57,13173.06,50,18,,83761.25,2862,Amortitation,20180901,18,18,7395.1,51,18,Y,Y
M2285,2,101000839,659121.55,503832.46,13173.06,50,19,,83761.25,2862,Amortitation,20181001,19,19,7472.69,51,19,Y,Y
